arise_amount,arise_percentage,code,delta_amount,delta_percentage,last_close,name,time,today_max,today_min,today_now,today_open,volume_amount,volume_times
,,600744.SS,-0.02,-0.6,3.33,华银电力,2023-12-08 16:29:06,3.37,3.31,3.31,3.34,37809625,11319547
,,600763.SS,-0.03,-0.04,74.44,通策医疗,2023-12-08 16:29:06,74.9,73.36,74.41,74.35,624522673,8434881
,,600183.SS,0.29,1.75,16.59,生益科技,2023-12-08 16:29:06,17.05,16.57,16.88,16.59,201410870,11905001
,,600785.SS,-0.19,-1.33,14.24,新华百货,2023-12-08 16:29:06,14.64,14.04,14.05,14.24,79528495,5572901
,,600734.SS,0.08,2.16,3.7,ST实达,2023-12-08 16:29:06,3.89,3.77,3.78,3.84,51595509,13457173
,,600739.SS,-0.19,-1.51,12.57,辽宁成大,2023-12-08 16:29:06,12.59,12.34,12.38,12.59,57365773,4599976
,,600057.SS,-0.14,-2.02,6.92,厦门象屿,2023-12-08 16:29:06,7.16,6.78,6.78,6.87,277586183,39712051
,,600795.SS,0.06,1.49,4.03,国电电力,2023-12-08 16:29:06,4.1,4.01,4.09,4.05,445804617,109233201
,,600753.SS,-0.34,-2.98,11.4,庚星股份,2023-12-08 16:29:06,11.45,11.0,11.06,11.38,89614604,8017500
,,600758.SS,-0.06,-1.57,3.81,辽宁能源,2023-12-08 16:29:06,3.83,3.75,3.75,3.8,71816211,18978100
,,600740.SS,-0.02,-0.38,5.2,山西焦化,2023-12-08 16:29:06,5.25,5.17,5.18,5.19,72168975,13857336
,,600663.SS,-0.13,-1.44,9.04,陆家嘴,2023-12-08 16:29:06,9.1,8.9,8.91,9.04,91092851,10140347
,,600664.SS,-0.01,-0.28,3.58,哈药股份,2023-12-08 16:29:06,3.6,3.54,3.57,3.57,100169511,28076960
arise_amount,arise_percentage,code,delta_amount,delta_percentage,last_close,name,time,today_max,today_min,today_now,today_open,volume_amount,volume_times
-0.09000000000000341,-0.0012090274046212173,600763.SS,-0.03,-0.04,74.44,通策医疗,2023-12-08 16:29:06,74.9,73.36,74.41,74.35,624522673,8434881
-0.04999999999999982,-0.007225433526011535,600057.SS,-0.14,-2.02,6.92,厦门象屿,2023-12-08 16:29:06,7.16,6.78,6.78,6.87,277586183,39712051
0.0,0.0,600183.SS,0.29,1.75,16.59,生益科技,2023-12-08 16:29:06,17.05,16.57,16.88,16.59,201410870,11905001
0.009999999999999787,0.003003003003002939,600744.SS,-0.02,-0.6,3.33,华银电力,2023-12-08 16:29:06,3.37,3.31,3.31,3.34,37809625,11319547
0.0,0.0,600785.SS,-0.19,-1.33,14.24,新华百货,2023-12-08 16:29:06,14.64,14.04,14.05,14.24,79528495,5572901
0.13999999999999968,0.03783783783783775,600734.SS,0.08,2.16,3.7,ST实达,2023-12-08 16:29:06,3.89,3.77,3.78,3.84,51595509,13457173
0.019999999999999574,0.004962779156327438,600795.SS,0.06,1.49,4.03,国电电力,2023-12-08 16:29:06,4.1,4.01,4.09,4.05,445804617,109233201
0.019999999999999574,0.0015910898965791228,600739.SS,-0.19,-1.51,12.57,辽宁成大,2023-12-08 16:29:06,12.59,12.34,12.38,12.59,57365773,4599976
-0.019999999999999574,-0.0017543859649122432,600753.SS,-0.34,-2.98,11.4,庚星股份,2023-12-08 16:29:06,11.45,11.0,11.06,11.38,89614604,8017500
-0.010000000000000231,-0.0026246719160105594,600758.SS,-0.06,-1.57,3.81,辽宁能源,2023-12-08 16:29:06,3.83,3.75,3.75,3.8,71816211,18978100
-0.009999999999999787,-0.001923076923076882,600740.SS,-0.02,-0.38,5.2,山西焦化,2023-12-08 16:29:06,5.25,5.17,5.18,5.19,72168975,13857336
-0.010000000000000231,-0.002793296089385539,600664.SS,-0.01,-0.28,3.58,哈药股份,2023-12-08 16:29:06,3.6,3.54,3.57,3.57,100169511,28076960
0.0,0.0,600663.SS,-0.13,-1.44,9.04,陆家嘴,2023-12-08 16:29:06,9.1,8.9,8.91,9.04,91092851,10140347
arise_amount,arise_percentage,code,delta_amount,delta_percentage,last_close,name,time,today_max,today_min,today_now,today_open,volume_amount,volume_times
0.13999999999999968,0.03783783783783775,600734.SS,0.08,2.16,3.7,ST实达,2023-12-08 16:29:06,3.89,3.77,3.78,3.84,51595509,13457173
0.019999999999999574,0.004962779156327438,600795.SS,0.06,1.49,4.03,国电电力,2023-12-08 16:29:06,4.1,4.01,4.09,4.05,445804617,109233201
0.0,0.0,600785.SS,-0.19,-1.33,14.24,新华百货,2023-12-08 16:29:06,14.64,14.04,14.05,14.24,79528495,5572901
-0.09000000000000341,-0.0012090274046212173,600763.SS,-0.03,-0.04,74.44,通策医疗,2023-12-08 16:29:06,74.9,73.36,74.41,74.35,624522673,8434881
-0.04999999999999982,-0.007225433526011535,600057.SS,-0.14,-2.02,6.92,厦门象屿,2023-12-08 16:29:06,7.16,6.78,6.78,6.87,277586183,39712051
0.009999999999999787,0.003003003003002939,600744.SS,-0.02,-0.6,3.33,华银电力,2023-12-08 16:29:06,3.37,3.31,3.31,3.34,37809625,11319547
0.0,0.0,600183.SS,0.29,1.75,16.59,生益科技,2023-12-08 16:29:06,17.05,16.57,16.88,16.59,201410870,11905001
0.019999999999999574,0.0015910898965791228,600739.SS,-0.19,-1.51,12.57,辽宁成大,2023-12-08 16:29:06,12.59,12.34,12.38,12.59,57365773,4599976
-0.019999999999999574,-0.0017543859649122432,600753.SS,-0.34,-2.98,11.4,庚星股份,2023-12-08 16:29:06,11.45,11.0,11.06,11.38,89614604,8017500
-0.010000000000000231,-0.0026246719160105594,600758.SS,-0.06,-1.57,3.81,辽宁能源,2023-12-08 16:29:06,3.83,3.75,3.75,3.8,71816211,18978100
-0.009999999999999787,-0.001923076923076882,600740.SS,-0.02,-0.38,5.2,山西焦化,2023-12-08 16:29:06,5.25,5.17,5.18,5.19,72168975,13857336
0.0,0.0,600663.SS,-0.13,-1.44,9.04,陆家嘴,2023-12-08 16:29:06,9.1,8.9,8.91,9.04,91092851,10140347
-0.010000000000000231,-0.002793296089385539,600664.SS,-0.01,-0.28,3.58,哈药股份,2023-12-08 16:29:06,3.6,3.54,3.57,3.57,100169511,28076960
